Review_ID,Review,Sentiment,Product_Category,Rating
1,The product matches the description and is fairly average. Delivery was normal.,Neutral,Mobile Accessories,2
2,"The features are useful, although the performance is average. I may consider other options next time.",Neutral,Books,3
3,The product matches the description and is fairly average. The experience was acceptable.,Neutral,Sports,2
4,Fantastic product with good build quality and smooth performance. The delivery was also good.,Positive,Mobile Accessories,5
5,The product arrived damaged and did not work properly. It needs major improvement.,Negative,Home Appliances,1
6,The product is neither very good nor very bad. I may consider other options next time.,Neutral,Furniture,3
7,"It is a decent purchase, but I expected slightly more. The experience was acceptable.",Neutral,Home Appliances,2
8,The product has several problems and does not work as advertised. It needs major improvement.,Negative,Beauty,1
9,Great product for the price. Very useful and easy to use. The delivery was also good.,Positive,Shoes,4
10,Very bad quality and definitely not worth the money. Customer support did not help much.,Negative,Sports,2
11,I expected much better quality. This was a disappointing purchase. It needs major improvement.,Negative,Shoes,1
12,Great product for the price. Very useful and easy to use. It is worth the price.,Positive,Beauty,5
13,Great product for the price. Very useful and easy to use. I would purchase it again.,Positive,Beauty,4
14,The product matches the description and is fairly average. The experience was acceptable.,Neutral,Beauty,3
15,The product stopped working after a few days. Not recommended. I would not purchase it again.,Negative,Beauty,2
16,Very happy with my purchase. The product feels durable and reliable. I would purchase it again.,Positive,Electronics,4
17,"It is a decent purchase, but I expected slightly more. It is suitable for basic use.",Neutral,Electronics,2
18,The product arrived quickly and was exactly as described. I would purchase it again.,Positive,Books,5
19,The product arrived damaged and did not work properly. I would not purchase it again.,Negative,Home Appliances,1
20,Poor experience. The item was faulty and difficult to use. I would not purchase it again.,Negative,Home Appliances,2
21,Great product for the price. Very useful and easy to use. I am very satisfied.,Positive,Clothing,4
22,I absolutely love this product. The quality is excellent and it works perfectly. Highly recommended.,Positive,Clothing,5
23,I absolutely love this product. The quality is excellent and it works perfectly. I would purchase it again.,Positive,Books,5
24,I would not recommend this product to anyone. The delivery was also disappointing.,Negative,Sports,2
25,"Overall, the experience was okay. Delivery was normal.",Neutral,Kitchen,2
26,I would not recommend this product to anyone. The delivery was also disappointing.,Negative,Furniture,2
27,I am disappointed with this product. The quality is very poor. I regret buying it.,Negative,Beauty,1
28,"It is a decent purchase, but I expected slightly more. Delivery was normal.",Neutral,Sports,3
29,"The product is comfortable, reliable, and worth the money. I am very satisfied.",Positive,Clothing,5
30,"The features are useful, although the performance is average. Delivery was normal.",Neutral,Home Appliances,2
31,"The features are useful, although the performance is average. Delivery was normal.",Neutral,Mobile Accessories,2
32,"Overall, the experience was okay. I may consider other options next time.",Neutral,Home Appliances,3
33,This product exceeded my expectations. I would definitely buy it again. The delivery was also good.,Positive,Electronics,4
34,Very bad quality and definitely not worth the money. It needs major improvement.,Negative,Kitchen,2
35,This product exceeded my expectations. I would definitely buy it again. I would purchase it again.,Positive,Beauty,4
36,Fantastic product with good build quality and smooth performance. I am very satisfied.,Positive,Electronics,4
37,The product arrived damaged and did not work properly. I would not purchase it again.,Negative,Electronics,2
38,I absolutely love this product. The quality is excellent and it works perfectly. Highly recommended.,Positive,Books,5
39,The product arrived quickly and was exactly as described. I am very satisfied.,Positive,Sports,5
40,The product is okay and works as expected. It could be improved.,Neutral,Sports,2
41,Excellent quality and amazing performance. Highly recommended. The delivery was also good.,Positive,Sports,5
42,Fantastic product with good build quality and smooth performance. I would purchase it again.,Positive,Furniture,4
43,Very happy with my purchase. The product feels durable and reliable. It is worth the price.,Positive,Clothing,5
44,I absolutely love this product. The quality is excellent and it works perfectly. It is worth the price.,Positive,Shoes,5
45,It arrived on time and appears to work normally. I may consider other options next time.,Neutral,Kitchen,3
46,The quality is acceptable for the price. It is suitable for basic use.,Neutral,Electronics,2
47,Very bad quality and definitely not worth the money. The delivery was also disappointing.,Negative,Sports,2
48,Great product for the price. Very useful and easy to use. I am very satisfied.,Positive,Mobile Accessories,5
49,Waste of money. The product did not meet my expectations. Customer support did not help much.,Negative,Home Appliances,2
50,It arrived on time and appears to work normally. Delivery was normal.,Neutral,Kitchen,3
51,It is an average product. Nothing particularly impressive. It is suitable for basic use.,Neutral,Clothing,3
52,The performance is poor and the product feels cheaply made. I would not purchase it again.,Negative,Furniture,2
53,Excellent quality and amazing performance. Highly recommended. Highly recommended.,Positive,Shoes,5
54,Waste of money. The product did not meet my expectations. I regret buying it.,Negative,Mobile Accessories,2
55,I absolutely love this product. The quality is excellent and it works perfectly. I am very satisfied.,Positive,Clothing,4
56,The performance is poor and the product feels cheaply made. I regret buying it.,Negative,Clothing,1
57,"The features are useful, although the performance is average. I may consider other options next time.",Neutral,Mobile Accessories,2
58,"The product is comfortable, reliable, and worth the money. It is worth the price.",Positive,Beauty,4
59,Very bad quality and definitely not worth the money. Customer support did not help much.,Negative,Beauty,1
60,The product matches the description and is fairly average. Delivery was normal.,Neutral,Mobile Accessories,3
61,Works really well and looks great. Good value for money. I would purchase it again.,Positive,Furniture,5
62,Excellent quality and amazing performance. Highly recommended. Highly recommended.,Positive,Beauty,5
63,I absolutely love this product. The quality is excellent and it works perfectly. The delivery was also good.,Positive,Shoes,5
64,I absolutely love this product. The quality is excellent and it works perfectly. I would purchase it again.,Positive,Electronics,5
65,I am satisfied with the quality and the overall experience. It is worth the price.,Positive,Clothing,4
66,"The product does its basic job, but there is room for improvement. Delivery was normal.",Neutral,Home Appliances,2
67,"The features are useful, although the performance is average. The experience was acceptable.",Neutral,Home Appliances,3
68,"It is a decent purchase, but I expected slightly more. It could be improved.",Neutral,Home Appliances,2
69,The quality is acceptable for the price. It could be improved.,Neutral,Kitchen,2
70,This product exceeded my expectations. I would definitely buy it again. I am very satisfied.,Positive,Furniture,5
71,The product matches the description and is fairly average. It is suitable for basic use.,Neutral,Home Appliances,3
72,The product arrived damaged and did not work properly. I would not purchase it again.,Negative,Books,1
73,The performance is poor and the product feels cheaply made. Customer support did not help much.,Negative,Home Appliances,2
74,It arrived on time and appears to work normally. It is suitable for basic use.,Neutral,Sports,3
75,I absolutely love this product. The quality is excellent and it works perfectly. The delivery was also good.,Positive,Shoes,4
76,Great product for the price. Very useful and easy to use. The delivery was also good.,Positive,Beauty,4
77,The product arrived damaged and did not work properly. It needs major improvement.,Negative,Books,1
78,The product has several problems and does not work as advertised. The delivery was also disappointing.,Negative,Kitchen,1
79,Waste of money. The product did not meet my expectations. The delivery was also disappointing.,Negative,Electronics,2
80,The performance is poor and the product feels cheaply made. The delivery was also disappointing.,Negative,Mobile Accessories,2
81,The product is neither very good nor very bad. I may consider other options next time.,Neutral,Clothing,3
82,The product is neither very good nor very bad. I may consider other options next time.,Neutral,Mobile Accessories,3
83,I absolutely love this product. The quality is excellent and it works perfectly. The delivery was also good.,Positive,Clothing,4
84,"It is a decent purchase, but I expected slightly more. Delivery was normal.",Neutral,Electronics,2
85,The product stopped working after a few days. Not recommended. Customer support did not help much.,Negative,Home Appliances,1
86,"The product is comfortable, reliable, and worth the money. I would purchase it again.",Positive,Electronics,5
87,The product has several problems and does not work as advertised. The delivery was also disappointing.,Negative,Mobile Accessories,2
88,The product is okay and works as expected. It is suitable for basic use.,Neutral,Furniture,2
89,The product arrived damaged and did not work properly. I would not purchase it again.,Negative,Sports,1
90,Very bad quality and definitely not worth the money. I regret buying it.,Negative,Home Appliances,1
91,Great product for the price. Very useful and easy to use. It is worth the price.,Positive,Beauty,5
92,It is an average product. Nothing particularly impressive. I may consider other options next time.,Neutral,Shoes,2
93,The product has several problems and does not work as advertised. It needs major improvement.,Negative,Clothing,1
94,It is an average product. Nothing particularly impressive. I may consider other options next time.,Neutral,Shoes,3
95,"The features are useful, although the performance is average. The experience was acceptable.",Neutral,Electronics,3
96,Excellent quality and amazing performance. Highly recommended. I would purchase it again.,Positive,Kitchen,4
97,Poor experience. The item was faulty and difficult to use. I regret buying it.,Negative,Electronics,2
98,Waste of money. The product did not meet my expectations. It needs major improvement.,Negative,Furniture,2
99,Great product for the price. Very useful and easy to use. I am very satisfied.,Positive,Kitchen,5
100,The product is okay and works as expected. It could be improved.,Neutral,Sports,3
101,Very bad quality and definitely not worth the money. The delivery was also disappointing.,Negative,Beauty,1
102,This product exceeded my expectations. I would definitely buy it again. The delivery was also good.,Positive,Books,4
103,This product exceeded my expectations. I would definitely buy it again. It is worth the price.,Positive,Mobile Accessories,4
104,It is an average product. Nothing particularly impressive. It could be improved.,Neutral,Shoes,3
105,"It is a decent purchase, but I expected slightly more. It could be improved.",Neutral,Beauty,3
106,The product arrived quickly and was exactly as described. I would purchase it again.,Positive,Home Appliances,4
107,"The features are useful, although the performance is average. Delivery was normal.",Neutral,Furniture,3
108,Great product for the price. Very useful and easy to use. I am very satisfied.,Positive,Electronics,4
109,"The product is comfortable, reliable, and worth the money. I am very satisfied.",Positive,Clothing,4
110,"Overall, the experience was okay. I may consider other options next time.",Neutral,Home Appliances,2
111,Poor experience. The item was faulty and difficult to use. Customer support did not help much.,Negative,Books,2
112,"The product is comfortable, reliable, and worth the money. Highly recommended.",Positive,Home Appliances,5
113,The product arrived damaged and did not work properly. I regret buying it.,Negative,Home Appliances,2
114,The performance is poor and the product feels cheaply made. I would not purchase it again.,Negative,Shoes,1
115,This product exceeded my expectations. I would definitely buy it again. It is worth the price.,Positive,Beauty,4
116,I am disappointed with this product. The quality is very poor. Customer support did not help much.,Negative,Electronics,2
117,Great product for the price. Very useful and easy to use. The delivery was also good.,Positive,Shoes,4
118,Fantastic product with good build quality and smooth performance. It is worth the price.,Positive,Clothing,5
119,The product is neither very good nor very bad. The experience was acceptable.,Neutral,Furniture,2
120,"The features are useful, although the performance is average. The experience was acceptable.",Neutral,Books,2
121,Waste of money. The product did not meet my expectations. Customer support did not help much.,Negative,Kitchen,1
122,It is an average product. Nothing particularly impressive. It could be improved.,Neutral,Home Appliances,3
123,Works really well and looks great. Good value for money. It is worth the price.,Positive,Electronics,4
124,The quality is acceptable for the price. Delivery was normal.,Neutral,Furniture,3
125,It arrived on time and appears to work normally. It is suitable for basic use.,Neutral,Books,2
126,The performance is poor and the product feels cheaply made. Customer support did not help much.,Negative,Clothing,2
127,"The product does its basic job, but there is room for improvement. Delivery was normal.",Neutral,Sports,2
128,I am satisfied with the quality and the overall experience. It is worth the price.,Positive,Beauty,5
129,Fantastic product with good build quality and smooth performance. Highly recommended.,Positive,Home Appliances,4
130,I am satisfied with the quality and the overall experience. I would purchase it again.,Positive,Beauty,4
131,The product arrived damaged and did not work properly. It needs major improvement.,Negative,Books,1
132,"The features are useful, although the performance is average. I may consider other options next time.",Neutral,Beauty,3
133,"Overall, the experience was okay. It could be improved.",Neutral,Mobile Accessories,2
134,It arrived on time and appears to work normally. I may consider other options next time.,Neutral,Clothing,2
135,Works really well and looks great. Good value for money. It is worth the price.,Positive,Home Appliances,4
136,Great product for the price. Very useful and easy to use. Highly recommended.,Positive,Shoes,5
137,Works really well and looks great. Good value for money. It is worth the price.,Positive,Furniture,5
138,The quality is acceptable for the price. Delivery was normal.,Neutral,Books,2
139,The product is okay and works as expected. I may consider other options next time.,Neutral,Kitchen,3
140,I expected much better quality. This was a disappointing purchase. Customer support did not help much.,Negative,Home Appliances,1
141,Poor experience. The item was faulty and difficult to use. I would not purchase it again.,Negative,Sports,2
142,The product is neither very good nor very bad. I may consider other options next time.,Neutral,Sports,2
143,I would not recommend this product to anyone. Customer support did not help much.,Negative,Kitchen,2
144,Waste of money. The product did not meet my expectations. Customer support did not help much.,Negative,Furniture,1
145,I expected much better quality. This was a disappointing purchase. The delivery was also disappointing.,Negative,Furniture,2
146,Very happy with my purchase. The product feels durable and reliable. Highly recommended.,Positive,Furniture,4
147,I expected much better quality. This was a disappointing purchase. I would not purchase it again.,Negative,Electronics,1
148,The product arrived damaged and did not work properly. I regret buying it.,Negative,Home Appliances,1
149,The product has several problems and does not work as advertised. Customer support did not help much.,Negative,Mobile Accessories,1
150,I am satisfied with the quality and the overall experience. The delivery was also good.,Positive,Books,5
151,It is an average product. Nothing particularly impressive. It is suitable for basic use.,Neutral,Beauty,3
152,The product has several problems and does not work as advertised. I would not purchase it again.,Negative,Clothing,1
153,Fantastic product with good build quality and smooth performance. I would purchase it again.,Positive,Books,5
154,I would not recommend this product to anyone. I would not purchase it again.,Negative,Clothing,1
155,Fantastic product with good build quality and smooth performance. Highly recommended.,Positive,Beauty,4
156,The product is neither very good nor very bad. It could be improved.,Neutral,Kitchen,3
157,Great product for the price. Very useful and easy to use. I am very satisfied.,Positive,Shoes,4
158,The performance is poor and the product feels cheaply made. The delivery was also disappointing.,Negative,Furniture,1
159,"Overall, the experience was okay. It could be improved.",Neutral,Beauty,3
160,I would not recommend this product to anyone. The delivery was also disappointing.,Negative,Mobile Accessories,2
161,The product matches the description and is fairly average. Delivery was normal.,Neutral,Shoes,3
162,"The product does its basic job, but there is room for improvement. The experience was acceptable.",Neutral,Furniture,3
163,Great product for the price. Very useful and easy to use. It is worth the price.,Positive,Shoes,5
164,Great product for the price. Very useful and easy to use. It is worth the price.,Positive,Shoes,4
